,season,name,position,value,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
3843,2017-18,Scott Dann,DEF,47,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Crystal Palace,West Brom,False,0,12,15:00,0.78125,2017-12-02
3844,2017-18,Scott Malone,DEF,43,0,0,0,1,0,0,0,0,0,11.8,2,21.4,4,70,1,0,Huddersfield,Everton,False,-1,12,15:00,0.31272727272727274,2017-12-02
3845,2017-18,Scott Mctominay,MID,43,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,Arsenal,False,1,12,17:30,0.8333333333333334,2017-12-02
3846,2017-18,Sead Haksabanovic,MID,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Man City,False,-1,12,16:00,0.051428571428571435,2017-12-03
3847,2017-18,Sead Kolasinac,DEF,61,0,0,0,3,0,0,0,0,0,13.8,11,15.4,11,75,0,0,Arsenal,Man United,True,-1,12,17:30,1.2,2017-12-02
3848,2017-18,Seamus Coleman,DEF,64,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Huddersfield,True,1,12,15:00,3.197674418604651,2017-12-02
3849,2017-18,Sean Scannell,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Huddersfield,Everton,False,-1,12,15:00,0.31272727272727274,2017-12-02
3850,2017-18,Sebastian Prödl,DEF,43,0,0,0,1,0,0,0,0,0,0.7,0,16.2,11,90,0,0,Watford,Tottenham,True,0,12,15:00,0.344,2017-12-02
3851,2017-18,Serge Aurier,DEF,59,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Tottenham,Watford,False,0,12,15:00,2.9069767441860463,2017-12-02
3852,2017-18,Sergio Agüero,FWD,117,0,0,0,1,0,0,0,0,0,16.2,34,2.6,3,84,0,0,Man City,West Ham,True,1,12,16:00,19.444444444444443,2017-12-03
3853,2017-18,Sergio Romero,GK,48,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,Arsenal,False,1,12,17:30,0.8333333333333334,2017-12-02
3854,2017-18,Shane Duffy,DEF,46,1,1,0,5,0,0,0,0,0,10.5,4,28.6,26,90,0,0,Brighton,Liverpool,True,-1,12,15:00,0.2,2017-12-02
3855,2017-18,Shane Long,FWD,57,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Southampton,Bournemouth,False,0,12,13:30,1.209205020920502,2017-12-03
3856,2017-18,Shinji Okazaki,FWD,55,0,0,0,0,0,0,0,0,0,20.8,20,6.4,5,2,0,0,Leicester,Burnley,True,1,12,15:00,2.73224043715847,2017-12-02
3857,2017-18,Shkodran Mustafi,DEF,54,0,0,0,2,0,0,0,0,0,0.0,0,0.0,-1,14,0,0,Arsenal,Man United,True,-1,12,17:30,1.2,2017-12-02
3858,2017-18,Siem De jong,MID,49,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Newcastle,Chelsea,False,-1,12,12:30,0.08333333333333333,2017-12-02
3859,2017-18,Simon Francis,DEF,44,0,0,0,1,0,0,0,0,0,0.9,0,38.6,20,90,0,0,Bournemouth,Southampton,True,0,12,13:30,0.8269896193771626,2017-12-03
3860,2017-18,Simon Mignolet,GK,49,0,0,0,1,1,0,0,0,0,0.0,0,12.0,12,90,0,0,Liverpool,Brighton,False,1,12,15:00,5.0,2017-12-02
3861,2017-18,Sofiane Boufal,MID,57,0,0,0,1,0,0,0,0,0,20.8,43,22.8,17,90,0,0,Southampton,Bournemouth,False,0,12,13:30,1.209205020920502,2017-12-03
